date,target_traffic,actual_traffic
2026-05-01,1000,965
2026-05-02,1042,1020
2026-05-03,1084,1043
2026-05-04,1126,1113
2026-05-05,1168,1132
2026-05-06,1210,1160
2026-05-07,1252,1235
2026-05-08,1294,1268
2026-05-09,1336,1324
2026-05-10,1378,1347
2026-05-11,1420,1417
2026-05-12,1462,1436
2026-05-13,1504,1463
2026-05-14,1546,1539
2026-05-15,1588,1572
2026-05-16,1630,1628
2026-05-17,1672,1651
2026-05-18,1714,1720
2026-05-19,1756,1740
2026-05-20,1798,1767
2026-05-21,1840,1843
2026-05-22,1882,1876
2026-05-23,1924,1931
2026-05-24,1966,1955
2026-05-25,2008,2024
2026-05-26,2050,2044
2026-05-27,2092,2071
2026-05-28,2134,2146
2026-05-29,2176,2180
2026-05-30,2218,2235
2026-05-31,2260,2259
2026-06-01,2302,2328
2026-06-02,2344,2347
2026-06-03,2386,2375
2026-06-04,2428,2450
2026-06-05,2470,2484
2026-06-06,2512,2539
2026-06-07,2554,2562
2026-06-08,2596,2632
2026-06-09,2638,2651
2026-06-10,2680,2679
2026-06-11,2722,2754
2026-06-12,2764,2787
2026-06-13,2806,2843
2026-06-14,2848,2866
2026-06-15,2890,2935
2026-06-16,2932,2955
2026-06-17,2974,2982
2026-06-18,3016,3058
2026-06-19,3058,3091
2026-06-20,3100,3147
2026-06-21,3142,3170
2026-06-22,3184,3239
2026-06-23,3226,3259
2026-06-24,3268,3286
2026-06-25,3310,3362
2026-06-26,3352,3395
2026-06-27,3394,3450
2026-06-28,3436,3474
2026-06-29,3478,3543
2026-06-30,3520,3563
2026-07-01,3562,3590
2026-07-02,3604,3665
2026-07-03,3646,3699
2026-07-04,3688,3754
2026-07-05,3730,3778
2026-07-06,3772,3847
2026-07-07,3814,3866
2026-07-08,3856,3894
2026-07-09,3898,3969
2026-07-10,3940,4003
2026-07-11,3982,4058
2026-07-12,4024,4081
2026-07-13,4066,4151
2026-07-14,4108,4170
2026-07-15,4150,4198
2026-07-16,4192,4273
2026-07-17,4234,4306
2026-07-18,4276,4362
2026-07-19,4318,4385
2026-07-20,4360,4455
2026-07-21,4402,4474
2026-07-22,4444,4501
2026-07-23,4486,4577
2026-07-24,4528,4610
2026-07-25,4570,4665
2026-07-26,4612,4689
2026-07-27,4654,4758
2026-07-28,4696,4778
2026-07-29,4738,4805
2026-07-30,4780,4880
2026-07-31,4822,4914
2026-08-01,4864,4969
2026-08-02,4906,4993
2026-08-03,4948,5062
2026-08-04,4990,5082
2026-08-05,5032,5109
2026-08-06,5074,5184
2026-08-07,5116,5218
2026-08-08,5158,5273
